Threshold,AUROC,Sensitivity,Specificity,EarlyAlerts,MedianEarlyH,MeanEarlyH
0.05,0.6543613657990272,0.7688330871491876,0.08031088082901554,1041,24.0,19.911623439000962
0.1,0.6543613657990272,0.757754800590842,0.24168825561312607,1026,24.0,19.828460038986353
0.15,0.6543613657990272,0.742245199409158,0.3530332469775475,1005,24.0,19.758208955223882
0.2,0.6543613657990272,0.7230428360413589,0.43658246977547494,979,24.0,19.75178753830439
0.25,0.6543613657990272,0.7016248153618907,0.5025906735751295,950,24.0,19.721052631578946
0.3,0.6543613657990272,0.6802067946824224,0.5636334196891192,921,24.0,19.749185667752442
