Model,AUROC_PatientLevel,Sensitivity,Specificity,MedianEarlyHours,MeanEarlyHours,Notes
qSOFA-like rule,0.5838,23.42,74.09,14,13.37,Rule-based baseline using Resp>22 & SBP<100 (score>=2)
"XGBoost (6h horizon, thr=0.10)",0.7693,8.24,98.82,13.67,13.67,Per-hour ML baseline with 6h horizon and 24h early window
"GRU (6h horizon, thr=0.20)",0.6544,72.3,43.66,24,19.83,"Deep learning baseline using 37 features, GRU, 24h early window"
